date,area,new_cases,total_deaths
2020-02-29T17:00:00,Piemonte,0,0
2020-02-29T17:00:00,Puglia,0,0
2020-02-29T17:00:00,Sardegna,0,0
2020-02-29T17:00:00,Sicilia,0,0
2020-02-29T17:00:00,Toscana,3,0
2020-02-29T17:00:00,Umbria,0,0
2020-02-29T17:00:00,Valle d'Aosta,0,0
2020-02-29T17:00:00,Veneto,40,2
2020-03-01T17:00:00,Abruzzo,3,0
2020-03-01T17:00:00,Basilicata,0,0
2020-03-01T17:00:00,Calabria,0,0
2020-03-01T17:00:00,Campania,4,0
2020-03-01T17:00:00,Emilia-Romagna,68,8
2020-03-01T17:00:00,Friuli Venezia Giulia,6,0
2020-03-01T17:00:00,Lazio,0,0
2020-03-01T17:00:00,Liguria,-17,0
2020-03-01T17:00:00,Lombardia,369,24
2020-03-01T17:00:00,Marche,14,0
2020-03-01T17:00:00,Molise,0,0
2020-03-01T17:00:00,P.A. Bolzano,0,0
2020-03-01T17:00:00,P.A. Trento,0,0
2020-03-01T17:00:00,Piemonte,38,0
2020-03-01T17:00:00,Puglia,0,0
2020-03-01T17:00:00,Sardegna,0,0
2020-03-01T17:00:00,Sicilia,5,0
2020-03-01T17:00:00,Toscana,2,0
2020-03-01T17:00:00,Umbria,2,0
2020-03-01T17:00:00,Valle d'Aosta,0,0
2020-03-01T17:00:00,Veneto,72,2
2020-03-02T18:00:00,Abruzzo,0,0
2020-03-02T18:00:00,Basilicata,0,0
2020-03-02T18:00:00,Calabria,0,0
2020-03-02T18:00:00,Campania,0,0
2020-03-02T18:00:00,Emilia-Romagna,50,11
2020-03-02T18:00:00,Friuli Venezia Giulia,3,0
2020-03-02T18:00:00,Lazio,1,0
2020-03-02T18:00:00,Liguria,-3,0
2020-03-02T18:00:00,Lombardia,270,38
2020-03-02T18:00:00,Marche,10,1
2020-03-02T18:00:00,Molise,0,0
2020-03-02T18:00:00,P.A. Bolzano,0,0
2020-03-02T18:00:00,P.A. Trento,0,0
2020-03-02T18:00:00,Piemonte,2,0
2020-03-02T18:00:00,Puglia,1,0
2020-03-02T18:00:00,Sardegna,0,0
2020-03-02T18:00:00,Sicilia,-2,0
2020-03-02T18:00:00,Toscana,0,0
2020-03-02T18:00:00,Umbria,0,0
2020-03-02T18:00:00,Valle d'Aosta,0,0
2020-03-02T18:00:00,Veneto,10,2
2020-03-03T18:00:00,Abruzzo,1,0
2020-03-03T18:00:00,Basilicata,1,0
2020-03-03T18:00:00,Calabria,0,0
2020-03-03T18:00:00,Campania,13,0
2020-03-03T18:00:00,Emilia-Romagna,85,18
2020-03-03T18:00:00,Friuli Venezia Giulia,4,0
2020-03-03T18:00:00,Lazio,7,0
2020-03-03T18:00:00,Liguria,2,1
2020-03-03T18:00:00,Lombardia,266,55
2020-03-03T18:00:00,Marche,26,2
2020-03-03T18:00:00,Molise,3,0
2020-03-03T18:00:00,P.A. Bolzano,0,0
2020-03-03T18:00:00,P.A. Trento,4,0
2020-03-03T18:00:00,Piemonte,5,0
2020-03-03T18:00:00,Puglia,2,0
2020-03-03T18:00:00,Sardegna,1,0
2020-03-03T18:00:00,Sicilia,0,0
2020-03-03T18:00:00,Toscana,6,0
2020-03-03T18:00:00,Umbria,6,0
2020-03-03T18:00:00,Valle d'Aosta,0,0
2020-03-03T18:00:00,Veneto,34,3
2020-03-04T17:00:00,Abruzzo,1,0
2020-03-04T17:00:00,Basilicata,0,0
2020-03-04T17:00:00,Calabria,0,0
2020-03-04T17:00:00,Campania,1,0
2020-03-04T17:00:00,Emilia-Romagna,124,22
2020-03-04T17:00:00,Friuli Venezia Giulia,5,0
2020-03-04T17:00:00,Lazio,16,0
2020-03-04T17:00:00,Liguria,2,1
2020-03-04T17:00:00,Lombardia,300,73
2020-03-04T17:00:00,Marche,23,4
2020-03-04T17:00:00,Molise,0,0
