,,,Limits on gatherings sizes and household mixing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closures of face-to-face businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curfew,,,,,,,,Schools,,,,,,,,,,,,,,,,,,Universities,,,,,,,,,,,,Other NPIs,,,,,,,
,,,Public outdoor gatherings - Limits on gathering sizes and household mixing,,,,,,,,,,Public indoor gatherings - Limits on gathering sizes and household mixing,,,,,,,,,,Household mixing in private (outdoors) - Limits on gathering sizes and household mixing,,,,,,,,,,Household mixing in private (indoors) - Limits on gathering sizes and household mixing,,,,,,,,,,Night clubs closed,,,,,,,,Most or all gastronomy is closed or limited to take-away,,,,,,,,A large fraction of leisure and entertainment venues are closed,,,,,,,,Most or all retail shops and close-contact services are closed,,,,,,,,All non-essential face-to-face businesses are closed,,,,,,,,Night time curfew,,,,,,,,Most or all primary schools (roughly 5 or 6 to 10 or 11 years) have stopped most or all in-person teaching,,,,,,,,,Most or all secondary schools (roughly 10 or 11 years to 17 or 18 years) have stopped most or all in-person teaching,,,,,,,,,Most or all universities in this local area are on break/vacation/have sent students away,,,,,,,,,Only answer if the local area has at least one university,,,Mask-wearing policy,,,,,,,
Country,Region,Local area,Limit on number of people (only X people or fewer) (Public Outdoors),Limit on number of households (Public Outdoors),Description of NPI,Start date (Public Outdoors),Quotes and comments,Sources start date,End date (Public Outdoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Public Indoors),Limit on number of households (Public Indoors),Description of NPI,Start date (Public Indoors),Quotes and comments,Sources start date,End date (Public Indoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Private Outdoors),Limit on number of households (Private Outdoors),Description of NPI,Start date (Private Outdoors),Quotes and comments,Sources start date,End date (Private Outdoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Private Indoors),Limit on number of households (Private Indoors),Description of NPI,Start date (Private Indoors),Quotes and comments,Sources start date,End date (Private Indoors),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Some Face2Face),Quotes and comments,Sources start date,End date (Some Face2Face),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI (Gastronomy Closed),Start date  (Gastronomy Closed),Quotes and comments,Sources start date,End date (Gastronomy Closed),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Leisure Venue),Quotes and comments,Sources start date,End date (Leisure Venue),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Retail),Quotes and comments,Sources start date,End date (Retail),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (All Face2Face),Quotes and comments,Sources start date,End date (All Face2Face),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Curfew),Quotes and comments,Sources start date,End date (Curfew),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,"What is the reason they currently don't teach: COVID, holidays, other?",Start date (Primary Schools),Quotes and comments,Sources start date,End date (Primary Schools),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,"What is the reason they currently don't teach: COVID, holidays, other?",Start date (Secondary Schools),Quotes and comments,Sources start date,End date (Secondary Schools),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI (e.g. summer vacation),Start date (Unis Away),Quotes and comments,Sources start date,End date (Unis Away),Quotes and comments (if applicable),Sources end date (if applicable),,"How many universities does this local area have?

0, 1, or >1?",How many students do the universities in this local area roughly have (combined)?,How many inhabitants does the local area roughly have?,,Level of NPI (0-4) (Mask Wearing),Description of NPI,Start date (Mask Wearing),Quotes and comments,Sources start date,End date (Mask Wearing),Quotes and comments (if applicable),Sources end date (if applicable)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bayern,Nürnberg,10,no,Restriction to 10 people in two households (or direct family) in public space,22/06/2020,"""Kontaktbeschränkung im öffentlichen Raum (1) Der gemeinsame Aufenthalt im öffentlichen Raum ist nur gestattet 1. mit Angehörigen des eigenen Hausstands, Ehegatten, Lebenspartnern, Partnern einer nichtehelichen Lebensgemeinschaft, Verwandten in gerader Linie, Geschwistern sowie Angehörigen eines weiteren Hausstands, oder 2. in Gruppen von bis zu 10 Personen.""",https://www.verkuendung-bayern.de/files/baymbl/2020/348/baymbl-2020-348.pdf,15/10/2020,"Bavaria introduces new regional rules, which lead to further restrictions in areas with incidence of >35",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21b_amtsblatt.pdf,,10,no,Restriction to 10 people in two households (or direct family) in public space,22/06/2020,"""Kontaktbeschränkung im öffentlichen Raum (1) Der gemeinsame Aufenthalt im öffentlichen Raum ist nur gestattet 1. mit Angehörigen des eigenen Hausstands, Ehegatten, Lebenspartnern, Partnern einer nichtehelichen Lebensgemeinschaft, Verwandten in gerader Linie, Geschwistern sowie Angehörigen eines weiteren Hausstands, oder 2. in Gruppen von bis zu 10 Personen.""",https://www.verkuendung-bayern.de/files/baymbl/2020/348/baymbl-2020-348.pdf,15/10/2020,"Bavaria introduces new regional rules, which lead to further restrictions in areas with incidence of >35",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21b_amtsblatt.pdf,,200,no,Events not for public or only for select public members with specific interests are limited to 200 attendants outdoors. ,08/07/2020,6. BayIfSMV limits for maximum number of participants at events is raised,https://www.verkuendung-bayern.de/baymbl/2020-387/,13/10/2020,"Nürnberg passed a 7-day incidence rate of 35, and hence decreased the number of individuals allowed at gatherings",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21a_amtsblatt.pdf,,100,no,Events not for public or only for select public members with specific interests are limited to 100 attendants indoors. ,08/07/2020,6. BayIfSMV limits for maximum number of participants at events is raised,https://www.verkuendung-bayern.de/baymbl/2020-387/,13/10/2020,"Nürnberg passed a 7-day incidence rate of 35, and hence decreased the number of individuals allowed at gatherings",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21a_amtsblatt.pdf,,"Brothels, clubs, similar businesses are closed",22/06/2020,"""Bordellbetriebe, Clubs, Diskotheken, sonstige Vergnügungsstätten und vergleichbare Freizeiteinrichtungen sind geschlossen."" ",https://www.verkuendung-bayern.de/files/baymbl/2020/348/baymbl-2020-348.pdf,no,,https://www.verkuendung-bayern.de/baymbl/2021-5/,,All gastronomy limited to take-away (aside from staff canteens),02/11/2020,"""Gastronomiebetriebe jeder Art sind vorbehaltlich der Abs. 2 und 3 untersagt. (2) Zulässig sind die Abgabe und Lieferung von mitnahmefähigen Speisen und Getränken. (3) 1Zulässig ist der Betrieb von nicht öffentlich zugänglichen Betriebskantinen, wenn gewährleistet ist, dass zwischen allen Gästen, die nicht zu dem in § 3 Abs. 1 bezeichneten Personenkreis gehören, ein Mindestabstand von 1,5 m eingehalten wird.""",https://www.verkuendung-bayern.de/baymbl/2020-616/,no,,https://www.verkuendung-bayern.de/baymbl/2021-5/,,"All leisure time venues, aside from open air playgrounds, are closed",02/11/2020,See § 11 Freizeiteinrichtungen of 8. BayIfSMV,https://www.verkuendung-bayern.de/baymbl/2020-616/,no,,https://www.verkuendung-bayern.de/baymbl/2021-5/,,All non-essential businesses and close-contact services closed,16/12/2020,"""Die Öffnung von Ladengeschäften mit Kundenverkehr und zugehörige Abholdienste sind untersagt. 2Ausgenommen sind der Lebensmittelhandel inklusive Direktvermarktung, Lieferdienste, Getränkemärkte, Reformhäuser, Babyfachmärkte, Apotheken, Sanitätshäuser, Drogerien, Optiker, Hörgeräteakustiker, Tankstellen, Kfz-Werkstätten, Fahrradwerkstätten, Banken und Sparkassen, Filialen des Brief- und Versandhandels, Reinigungen und Waschsalons, der Verkauf von Presseartikeln, Tierbedarf und Futtermittel, der Verkauf von Weihnachtsbäumen und sonstige für die tägliche Versorgung unverzichtbare Ladengeschäfte sowie der Großhandel."" ""Dienstleistungen, bei denen eine körperliche Nähe zum Kunden unabdingbar ist, wie zum Beispiel Friseure, Kosmetikstudios, Massagepraxen, Tattoo-Studios oder ähnliche Betriebe sind untersagt.""",https://www.verkuendung-bayern.de/baymbl/2020-737/,no,,https://www.verkuendung-bayern.de/baymbl/2021-5/,,All non-essential businesses and close-contact services closed,16/12/2020,"""Die Öffnung von Ladengeschäften mit Kundenverkehr und zugehörige Abholdienste sind untersagt. 2Ausgenommen sind der Lebensmittelhandel inklusive Direktvermarktung, Lieferdienste, Getränkemärkte, Reformhäuser, Babyfachmärkte, Apotheken, Sanitätshäuser, Drogerien, Optiker, Hörgeräteakustiker, Tankstellen, Kfz-Werkstätten, Fahrradwerkstätten, Banken und Sparkassen, Filialen des Brief- und Versandhandels, Reinigungen und Waschsalons, der Verkauf von Presseartikeln, Tierbedarf und Futtermittel, der Verkauf von Weihnachtsbäumen und sonstige für die tägliche Versorgung unverzichtbare Ladengeschäfte sowie der Großhandel."" ""Dienstleistungen, bei denen eine körperliche Nähe zum Kunden unabdingbar ist, wie zum Beispiel Friseure, Kosmetikstudios, Massagepraxen, Tattoo-Studios oder ähnliche Betriebe sind untersagt.""",https://www.verkuendung-bayern.de/baymbl/2020-737/,no,,https://www.verkuendung-bayern.de/baymbl/2021-5/,,Curfew from 9pm to 5am (in high incidence (200+) areas),09/12/2020,"""In Nürnberg gilt wegen des sehr hohen 7-Tage-Inzidenzwertes (aktueller Wert: 327,8) seit Mittwoch eine nächtliche Ausgangssperre von 21 bis 5 Uhr.""",https://www.nuernberg.de/presse/mitteilungen/presse_69507.html,15/12/2020,"""Landesweit ist von 21 Uhr bis 5 Uhr der Aufenthalt außerhalb einer Wohnung untersagt""",https://www.verkuendung-bayern.de/baymbl/2020-737/,,Schools closed,holidays,before 1/8/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,07/09/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,,Schools closed,holidays,before 1/8/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,07/09/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,,Summer vacation,25/07/2020,25.07.2020 - 30.09.2020 vacation for TH and EvH; for FAU vacation until 02.11.2020,https://www.th-nuernberg.de/studium-karriere/wichtiges-zum-studienstart/termine-im-ueberblick/sommersemester-2020/; https://www.evhn.de/sites/default/files/media/downloads/allg._termine_wise_20-21_alle_stg.pdf; https://www.fau.de/education/studienorganisation/semestertermine/,30/09/2020,25.07.2020 - 30.09.2020 vacation for TH and EvH; for FAU vacation until 02.11.2020,https://www.th-nuernberg.de/studium-karriere/wichtiges-zum-studienstart/termine-im-ueberblick/sommersemester-2020/; https://www.evhn.de/sites/default/files/media/downloads/allg._termine_wise_20-21_alle_stg.pdf; https://www.fau.de/education/studienorganisation/semestertermine/,,>1,"27,000","518,365",,2,"Mandatory mask-wearing in specified settings, for instance on public transport",22/06/2020,"Masks are mandatory in specified settings, see source ""Maskenpflicht"" throughout the different articles.",https://www.verkuendung-bayern.de/files/baymbl/2020/348/baymbl-2020-348.pdf,16/10/2020,"""Es besteht Maskenpflicht auf von der Stadt Nürnberg festgelegten, stark frequentierten öffentlichen Plätzen (siehe Karte), auf den Begegnungs- und Verkehrsflächen einschließlich der Fahrstühle von öffentlichen Gebäuden sowie in Freizeiteinrichtungen (zum Beispiel Freizeitparks, (Indoor-)Spielplätzen, Bowling-Bahnen etc.), Kulturstätten (wie Ausstellungen, Museen, Tiergarten etc.) und sonstigen öffentlich zugänglichen Gebäuden, für die keine besonderen Regelungen vorgesehen sind. Es besteht laut Verordnung eine Maskenpflicht auch im Unterricht am Platz in weiterführenden Schulen ab Jahrgangsstufe 5 und in Hochschulen. Eine Mund-Nasen-Bedeckung muss auch am Platz bei Tagungen und Kongressen sowie in Theatern, Konzerthäusern, sonstigen Bühnen und Kinos sowie bei sportlichen Veranstaltungen getragen werden.""",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html
Germany,Bayern,Nürnberg,5,no,"Restriction to 5 people in two households (or direct family) in public space, due to incidence >50",16/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum ist im gesamten Stadtgebiet bis höchstens fünf Personen gestattet sowie mit Angehörigen des eigenen Hausstands, Ehegatten, Lebenspartnern, Partnern einer nichtehelichen Lebensgemeinschaft, Verwandten in gerader Linie (etwa Kinder mit ihren Eltern oder Großeltern), Geschwistern sowie Angehörigen aus höchstens einem weiteren Hausstand.""",https://www.nuernberg.de/presse/mitteilungen/presse_68462.html,16/10/2020,"Incidence falls below 50 again, new Bavaria-wide rules are introduced",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,,5,no,"Restriction to 5 people in two households (or direct family) in public space, due to incidence >50",16/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum ist im gesamten Stadtgebiet bis höchstens fünf Personen gestattet sowie mit Angehörigen des eigenen Hausstands, Ehegatten, Lebenspartnern, Partnern einer nichtehelichen Lebensgemeinschaft, Verwandten in gerader Linie (etwa Kinder mit ihren Eltern oder Großeltern), Geschwistern sowie Angehörigen aus höchstens einem weiteren Hausstand.""",https://www.nuernberg.de/presse/mitteilungen/presse_68462.html,16/10/2020,"Incidence falls below 50 again, new Bavaria-wide rules are introduced",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,,100,no,Events not for public or only for select public members with specific interests are limited to 100 attendants outdoors. ,14/10/2020,"""Abweichend von § 5 Abs. 2 Satz 1 der Siebten Bayerischen Infektionsschutzmaßnahmenverordnung (7. BayIfSMV) gilt für Privatveranstaltungen eine Teilnehmerbegrenzung von maximal 50 Personen in geschlossenen Räumen oder bis zu 100 Personen unter freiem Himmel, wenn der Veranstalter ein Schutz- und Hygienekonzept ausgearbeitet hat und auf Verlangen der zuständigen Kreisverwaltungsbehörde vorlegen kann.""",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21a_amtsblatt.pdf,15/10/2020,"Bavaria introduces new regional rules, which lead to further restrictions in areas with incidence of >35",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21b_amtsblatt.pdf,,50,no,Events not for public or only for select public members with specific interests are limited to 50 attendants indoors. ,14/10/2020,"""Abweichend von § 5 Abs. 2 Satz 1 der Siebten Bayerischen Infektionsschutzmaßnahmenverordnung (7. BayIfSMV) gilt für Privatveranstaltungen eine Teilnehmerbegrenzung von maximal 50 Personen in geschlossenen Räumen oder bis zu 100 Personen unter freiem Himmel, wenn der Veranstalter ein Schutz- und Hygienekonzept ausgearbeitet hat und auf Verlangen der zuständigen Kreisverwaltungsbehörde vorlegen kann.""",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21a_amtsblatt.pdf,15/10/2020,"Bavaria introduces new regional rules, which lead to further restrictions in areas with incidence of >35",https://www.nuernberg.de/imperia/md/zentral/dokumente/amtsblatt/2020/2020_21b_amtsblatt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curfew from 9pm to 5am,16/12/2020,"""Landesweit ist von 21 Uhr bis 5 Uhr der Aufenthalt außerhalb einer Wohnung untersagt, es sei denn dies ist begründet aufgrund 1. eines medizinischen oder veterinärmedizinischen Notfalls oder anderer  medizinisch unaufschiebbarer Behandlungen, 2. der Ausübung beruflicher oder dienstlicher Tätigkeiten oder unaufschiebbarer Ausbildungszwecke, 3. der Wahrnehmung des Sorge- und Umgangsrechts, 4. der unaufschiebbaren Betreuung unterstützungsbedürftiger Personen und Minderjähriger, 5.der Begleitung Sterbender, 6. von Handlungen zur Versorgung von Tieren oder 7. von ähnlich gewichtigen und unabweisbaren Gründen.""",https://www.verkuendung-bayern.de/baymbl/2020-737/,no,"""Die Ausgangssperre für ganz Bayern zwischen 21 und 5 Uhr bleibt bestehen.""",https://web.archive.org/web/20210112135508/https://www.br.de/radio/bayern1/ausgangsbeschraenkungen-gassi100.html,,Schools closed,holidays,31/10/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,08/11/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,,Schools closed,holidays,31/10/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,08/11/2020,,https://www.schulferien.org/Kalender_mit_Ferien/kalender_2020_ferien_Bayern.html,,Christmas vacation,24/12/2020,TH Nürnberg: 24.12.2020 bis 06.01.2021: vorlesungsfrei - Weihnachten & Silvester; Evangelische Hochschule has same dates for the courses I checked; FAU Erlangen-Nürnberg same dates (according to wikipedia 1/3 of students in Nürnberg),https://www.th-nuernberg.de/studium-karriere/wichtiges-zum-studienstart/termine-im-ueberblick/wintersemester-202021/; https://www.evhn.de/sites/default/files/media/downloads/allg._termine_wise_20-21_alle_stg.pdf; https://www.fau.de/education/studienorganisation/semestertermine/,06/01/2021,TH Nürnberg: 24.12.2020 bis 06.01.2021: vorlesungsfrei - Weihnachten & Silvester; Evangelische Hochschule has same dates for the courses I checked; FAU Erlangen-Nürnberg same dates (according to wikipedia 1/3 of students in Nürnberg),https://www.th-nuernberg.de/studium-karriere/wichtiges-zum-studienstart/termine-im-ueberblick/wintersemester-202021/; https://www.evhn.de/sites/default/files/media/downloads/allg._termine_wise_20-21_alle_stg.pdf; https://www.fau.de/education/studienorganisation/semestertermine/,,,,,,3,"Mandatory mask-wearing in specified settings, as well as any public place where social distancing is not possible",17/10/2020,"""Es besteht Maskenpflicht auf von der Stadt Nürnberg festgelegten, stark frequentierten öffentlichen Plätzen (siehe Karte), auf den Begegnungs- und Verkehrsflächen einschließlich der Fahrstühle von öffentlichen Gebäuden sowie in Freizeiteinrichtungen (zum Beispiel Freizeitparks, (Indoor-)Spielplätzen, Bowling-Bahnen etc.), Kulturstätten (wie Ausstellungen, Museen, Tiergarten etc.) und sonstigen öffentlich zugänglichen Gebäuden, für die keine besonderen Regelungen vorgesehen sind. Es besteht laut Verordnung eine Maskenpflicht auch im Unterricht am Platz in weiterführenden Schulen ab Jahrgangsstufe 5 und in Hochschulen. Eine Mund-Nasen-Bedeckung muss auch am Platz bei Tagungen und Kongressen sowie in Theatern, Konzerthäusern, sonstigen Bühnen und Kinos sowie bei sportlichen Veranstaltungen getragen werden.""",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,no,,
Germany,Bayern,Nürnberg,10,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 10 individuals or 2 households.",17/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens zehn Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.""",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,20/10/2020,Nürnberg reaches incidence of >50,https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,,10,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 10 individuals or 2 households.",17/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens zehn Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.""",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,20/10/2020,Nürnberg reaches incidence of >50,https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,,5,no,"Gatherings in private space limited to 5 individuals or 2 households, due to incidence >50",16/10/2020,"""Private Feiern und Kontakte werden ebenfalls auf zwei Hausstände oder maximal fünf Personen begrenzt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68462.html,16/10/2020,"Incidence falls below 50 again, new Bavaria-wide rules are introduced",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,,5,no,"Gatherings in private space limited to 5 individuals or 2 households, due to incidence >50",16/10/2020,"""Private Feiern und Kontakte werden ebenfalls auf zwei Hausstände oder maximal fünf Personen begrenzt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68462.html,16/10/2020,"Incidence falls below 50 again, new Bavaria-wide rules are introduced",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schools closed,"holidays, COVID",16/12/2020,"""Die Schulen im Sinne des Bayerischen Gesetzes über das Erziehungs- und Unterrichtswesen (BayEUG) sind für Schüler geschlossen.""",https://www.verkuendung-bayern.de/baymbl/2020-737/,no,"""Daher muss im Freistaat bis einschließlich 29. Januar für alle Schularten und alle Jahrgangsstufen Distanzunterricht stattfinden.""",https://web.archive.org/web/20210111112726/https://www.km.bayern.de/allgemein/meldung/7165/kultusminister-piazolo-informiert-ueber-den-unterrichtsbetrieb-nach-den-ferien.html,,Schools closed,"COVID, holidays",16/12/2020,"""Die Schulen im Sinne des Bayerischen Gesetzes über das Erziehungs- und Unterrichtswesen (BayEUG) sind für Schüler geschlossen.""; Secondary schools had ""Wechselunterricht"" from 09/12/2020 see https://www.verkuendung-bayern.de/baymbl/2020-711/",https://www.verkuendung-bayern.de/baymbl/2020-737/,no,"""Daher muss im Freistaat bis einschließlich 29. Januar für alle Schularten und alle Jahrgangsstufen Distanzunterricht stattfinden.""",https://web.archive.org/web/20210111112726/https://www.km.bayern.de/allgemein/meldung/7165/kultusminister-piazolo-informiert-ueber-den-unterrichtsbetrieb-nach-den-ferien.html,,,,,,,,,,,,,,,,,,,,,
Germany,Bayern,Nürnberg,5,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 5 individuals or 2 households.",21/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.   Der Teilnehmerkreis an privaten Feiern (wie insbesondere Hochzeits- oder Geburtstagsfeiern oder ähnliche Feierlichkeiten) ist unabhängig vom Ort der Veranstaltung auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,01/11/2020,"8.BayIfSMV (""lockdown light"") is put in place",https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,,5,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 5 individuals or 2 households.",21/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.   Der Teilnehmerkreis an privaten Feiern (wie insbesondere Hochzeits- oder Geburtstagsfeiern oder ähnliche Feierlichkeiten) ist unabhängig vom Ort der Veranstaltung auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,01/11/2020,"8.BayIfSMV (""lockdown light"") is put in place",https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,,10,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 10 individuals or 2 households.",17/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens zehn Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.""",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,20/10/2020,Nürnberg reaches incidence of >50,https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,,10,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 10 individuals or 2 households.",17/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens zehn Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.""",https://www.nuernberg.de/presse/mitteilungen/presse_68467.html,20/10/2020,Nürnberg reaches incidence of >50,https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Bayern,Nürnberg,10,2,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to maximally 10 individuals from 2 households.",02/11/2020,"""Der Aufenthalt in der Öffentlichkeit oder im privaten Bereich ist nur noch mit den Angehörigen des eigenen und eines weiteren Hausstands möglich und auf maximal zehn Personen beschränkt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,30/11/2020,9. BayIfSMV is introduced,https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,,10,2,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to maximally 10 individuals from 2 households.",02/11/2020,"""Der Aufenthalt in der Öffentlichkeit oder im privaten Bereich ist nur noch mit den Angehörigen des eigenen und eines weiteren Hausstands möglich und auf maximal zehn Personen beschränkt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,30/11/2020,9. BayIfSMV is introduced,https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,,5,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 5 individuals or 2 households.",21/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.   Der Teilnehmerkreis an privaten Feiern (wie insbesondere Hochzeits- oder Geburtstagsfeiern oder ähnliche Feierlichkeiten) ist unabhängig vom Ort der Veranstaltung auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,01/11/2020,"8.BayIfSMV (""lockdown light"") is put in place",https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,,5,no,"Gatherings in public or private spaces, regardless of indoors or outdoors are restricted to 5 individuals or 2 households.",21/10/2020,"""Der gemeinsame Aufenthalt im öffentlichen Raum und der Teilnehmerkreis von Zusammenkünften in privat genutzten Räumen und auf privat genutzten Grundstücken ist auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt; dies gilt auch insbesondere für die Gastronomie.   Der Teilnehmerkreis an privaten Feiern (wie insbesondere Hochzeits- oder Geburtstagsfeiern oder ähnliche Feierlichkeiten) ist unabhängig vom Ort der Veranstaltung auf die Angehörigen von zwei Hausständen oder auf höchstens fünf Personen beschränkt.""",https://www.nuernberg.de/presse/mitteilungen/presse_68517.html,01/11/2020,"8.BayIfSMV (""lockdown light"") is put in place",https://www.nuernberg.de/presse/mitteilungen/presse_68737.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
