,,,Limits on gatherings sizes and household mixing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closures of face-to-face businesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curfew,,,,,,,,Schools,,,,,,,,,,,,,,,,,,Universities,,,,,,,,,,,,Other NPIs,,,,,,,
,,,Public outdoor gatherings - Limits on gathering sizes and household mixing,,,,,,,,,,Public indoor gatherings - Limits on gathering sizes and household mixing,,,,,,,,,,Household mixing in private (outdoors) - Limits on gathering sizes and household mixing,,,,,,,,,,Household mixing in private (indoors) - Limits on gathering sizes and household mixing,,,,,,,,,,Night clubs closed,,,,,,,,Most or all gastronomy is closed or limited to take-away,,,,,,,,A large fraction of leisure and entertainment venues are closed,,,,,,,,Most or all retail shops and close-contact services are closed,,,,,,,,All non-essential face-to-face businesses are closed,,,,,,,,Night time curfew,,,,,,,,Most or all primary schools (roughly 5 or 6 to 10 or 11 years) have stopped most or all in-person teaching,,,,,,,,,Most or all secondary schools (roughly 10 or 11 years to 17 or 18 years) have stopped most or all in-person teaching,,,,,,,,,Most or all universities in this area are on break/vacation/have sent students away,,,,,,,,,Only answer if the local area has at least one university,,,Mask-wearing policy,,,,,,,
Country,Region,Local area,Limit on number of people (only X people or fewer) (Public Outdoors),Limit on number of households (Public Outdoors),Description of NPI,Start date (Public Outdoors),Quotes and comments,Sources start date,End date (Public Outdoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Public Indoors),Limit on number of households (Public Indoors),Description of NPI,Start date (Public Indoors),Quotes and comments,Sources start date,End date (Public Indoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Private Outdoors),Limit on number of households (Private Outdoors),Description of NPI,Start date (Private Outdoors),Quotes and comments,Sources start date,End date (Private Outdoors),Quotes and comments (if applicable),Sources end date (if applicable),,Limit on number of people (only X people or fewer) (Private Indoors),Limit on number of households (Private Indoors),Description of NPI,Start date (Private Indoors),Quotes and comments,Sources start date,End date (Private Indoors),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Some Face2Face),Quotes and comments,Sources start date,End date (Some Face2Face),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI (Gastronomy Closed),Start date  (Gastronomy Closed),Quotes and comments,Sources start date,End date (Gastronomy Closed),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Leisure Venue),Quotes and comments,Sources start date,End date (Leisure Venue),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Retail),Quotes and comments,Sources start date,End date (Retail),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (All Face2Face),Quotes and comments,Sources start date,End date (All Face2Face),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,Start date (Curfew),Quotes and comments,Sources start date,End date (Curfew),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,"What is the reason they currently don't teach: COVID, holidays, other?",Start date (Primary Schools),Quotes and comments,Sources start date,End date (Primary Schools),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI,"What is the reason they currently don't teach: COVID, holidays, other?",Start date (Secondary Schools),Quotes and comments,Sources start date,End date (Secondary Schools),Quotes and comments (if applicable),Sources end date (if applicable),,Description of NPI (e.g. summer vacation),Start date (Unis Away),Quotes and comments,Sources start date,End date (Unis Away),Quotes and comments (if applicable),Sources end date (if applicable),,"How many universities does this local area have?

0, 1, or >1?",How many students do the universities in this local area roughly have (combined)?,How many inhabitants does the local area roughly have?,,Level of NPI (0-4) (Mask Wearing),Description of NPI,Start date (Mask Wearing),Quotes and comments,Sources start date,End date (Mask Wearing),Quotes and comments (if applicable),Sources end date (if applicable)
Austria,Wien,,1250,no,Max 1250 guests for outdoor events with fixed seats provided this is approved by the locally responsible district administrative authority.,1 August 2020,"""As of August 1, 2020, these numbers will be increased to 500 visitors in closed rooms and 750 visitors in the open air."" ""Furthermore, from August 1, 2020, there will be the possibility of holding events with assigned and marked seats... for up to 1250 people in the open air, provided this is approved by the locally responsible district administrative authority""",https://web.archive.org/web/20200802004525/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,31 August 2020,"""As of September 1, 2020, these numbers will be increased to 5,000 visitors in closed rooms and 10,000 visitors in the open air"" (note that the page was accessed after 2020/09/01",https://web.archive.org/web/20200901122518/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://web.archive.org/web/20200910224450/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html, ,1000,no,Max 1000 guests for indoor events with fixed seats provided this is approved by the locally responsible district administrative authority.,1 August 2020,"""As of August 1, 2020, these numbers will be increased to 500 visitors in closed rooms"" ""Furthermore, from August 1, 2020, there will be the possibility of holding events with assigned and marked seats for up to 1000 people in closed rooms... provided this is approved by the locally responsible district administrative authority""",https://web.archive.org/web/20200802004525/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,31 August 2020,"""As of September 1, 2020, these numbers will be increased to 5,000 visitors in closed rooms and 10,000 visitors in the open air"" (note that the page was accessed after 2020/09/01",https://web.archive.org/web/20200901122518/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://web.archive.org/web/20200910224450/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html, ,1250,no,Max 1250 guests for outdoor events with fixed seats provided this is approved by the locally responsible district administrative authority.,1 August 2020,I can't see anything specific regarding private as opposed to public gatherings in the advice given,https://web.archive.org/web/20200802004525/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,31 August 2020,"""As of September 1, 2020, these numbers will be increased to 5,000 visitors in closed rooms and 10,000 visitors in the open air"" (note that the page was accessed after 2020/09/01",https://web.archive.org/web/20200901122518/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://web.archive.org/web/20200910224450/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html, ,1,1,"Although private gatherings in homes could not be regulated, during hard lockdowns private gatherings in other indoor venues would be banned. In addition functionally due to curfew and hard lockdowns most gatherings in private indoor venues were unlikley to take place during the hard lockdown. As agreed by multiple researchers after discussion with local epidemiologists ",17 November 2020,"See edge case doc: https://docs.google.com/document/d/1fdQIMDP-yeLAnMt3_09GwxyUL5TgsymLnRBxASVR84w/edit and mention of this legal difficulty here, for example: https://www.covid19healthsystem.org/countries/austria/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section#3Physicaldistancing",https://web.archive.org/web/20201116184636/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,6 December 2020,"Although private gatherings in homes could not be regulated, during hard lockdowns private gatherings in other indoor venues would be banned. In addition functionally due to curfew and hard lockdowns most gatherings in private indoor venues were unlikley to take place during the hard lockdown. As agreed by multiple researchers after discussion with local epidemiologists ",https://web.archive.org/web/20201207170144/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,,"Night clubs closed, Gastronomy take-away only; most leisure activities closed",3 November 2020,"""Catering establishments are only allowed to offer food for collection from 6 a.m. to 8 p.m., direct consumption in catering establishments is no longer permitted""",https://web.archive.org/web/20201109211208/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,no,"""Catering establishments may offer pick-up from 6 a.m. to 7 p.m. Delivery service is possible 24/7. Consumption on site is not permitted (exception: company canteens).""",Archived government advice page: https://archive.vn/dXePU. old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_598/BGBLA_2020_II_598.html. amendment to extend old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_2/BGBLA_2021_II_2.html,,Take-away only,3 November 2020,"""Catering establishments are only allowed to offer food for collection from 6 a.m. to 8 p.m., direct consumption in catering establishments is no longer permitted""",https://web.archive.org/web/20201109211208/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,no,"""Catering establishments may offer pick-up from 6 a.m. to 7 p.m. Delivery service is possible 24/7. Consumption on site is not permitted (exception: company canteens).""",Archived government advice page: https://archive.vn/dXePU. old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_598/BGBLA_2020_II_598.html. amendment to extend old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_2/BGBLA_2021_II_2.html,,Most leisure activities closed,3 November 2020,"""Leisure and cultural activities remain closed, with the exception of libraries"", ""Indoor sports facilities remain closed during the period of the regulation, with the exception of use by top athletes""",https://web.archive.org/web/20201109211208/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,no,"I think we can say ""a large fraction"" of leisure and cultural venues are closed in this period. The easiest way to verify this is probably to go through the ordinances provided in the sources cell, which cover the period 2020/11/03 to 2021/01/09. See § 12 in each doc (where applicable)",https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_463/BGBLA_2020_II_463.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_479/BGBLA_2020_II_479.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_544/BGBLA_2020_II_544.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_566/BGBLA_2020_II_566.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_2/BGBLA_2021_II_2.html,,More or less everything closed except ~essential shops etc,17 November 2020,"(from the regulation) ""§ 5. (1) Entering and driving the customer area of 1. Business premises for the purpose of purchasing goods, 2. Service companies for the use of body-hugging services... is prohibited"" i.e. retail and close-contact services are closed",https://web.archive.org/web/20201117092500/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_479/BGBLA_2020_II_479.html,6 December 2020,"""retail trade The trade will open again from December 7th, the shops may stay open until 7 p.m. at the latest... All services, including those close to the body (hairdressers, masseurs, etc.), may be offered""",https://web.archive.org/web/20201207170144/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,,More or less everything closed except ~essential shops etc,17 November 2020,,https://web.archive.org/web/20201117092500/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_479/BGBLA_2020_II_479.html,6 December 2020,"""retail trade The trade will open again from December 7th, the shops may stay open until 7 p.m. at the latest.""",https://web.archive.org/web/20201207170144/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,,Leaving home between 8pm and 6am is only permitted under limited conditions,3 November 2020,"""Leaving your own private living area and staying outside your own private living area between 8 p.m. and 6 a.m. is only permitted under the following conditions...""",https://web.archive.org/web/20201109211208/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,16 November 2020,Curfew became a 24 hour stay at home order.,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_479/BGBLA_2020_II_479.html,,summer vacation,holidays,before 1 August 2020,"My understanding of the source is that the stated dates are prescribed for some types of school, and usually applied to other types; and so we can consider them to roughly apply to all schools for our purposes. See also https://de.wikipedia.org/wiki/Bildungssystem_in_%C3%96sterreich#%C3%9Cbersicht:_Bildungsebenen_und_Schultypen",https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_19_20.html,6 September 2020,"""Summer vacation 2) Main vacation July 4, 2020 - September 6, 2020 Burgenland, Lower Austria, Vienna""",https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_19_20.html,,summer vacation,holidays,before 1 August 2020,"My understanding of the source is that the stated dates are prescribed for some types of school, and usually applied to other types; and so we can consider them to roughly apply to all schools for our purposes. See also https://de.wikipedia.org/wiki/Bildungssystem_in_%C3%96sterreich#%C3%9Cbersicht:_Bildungsebenen_und_Schultypen",https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_19_20.html,6 September 2020,"""Summer vacation 2) Main vacation July 4, 2020 - September 6, 2020 Burgenland, Lower Austria, Vienna""",https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_19_20.html,,summer vacation,before 1 August 2020,,,30 September 2020,"I looked at the top 5 universities by student population in Vienna. I think this covers ~75-80% of students in Vienna. They all say their first semester for 2020/21 started on 2020/10/01. I assumed that other universities would be similar enough that it's roughly right to say that, weighting by student sizes, most or all universities in Vienna were on Summer vacation until 2020/10/01.",https://de.wikipedia.org/wiki/Liste_der_Universit%C3%A4ten_in_%C3%96sterreich https://de.wikipedia.org/wiki/Liste_der_Fachhochschulen_in_%C3%96sterreich https://de.wikipedia.org/wiki/P%C3%A4dagogische_Hochschule#P%C3%A4dagogische_Hochschulen_in_%C3%96sterreich https://international.univie.ac.at/en/student-mobility/incoming-students/erasmus-student-exchange/studying-at-the-university-of-vienna/ https://www.tuwien.at/en/studies/academic-calendar https://www.wu.ac.at/en/programs/incoming-students/exchange-semester/your-semester-at-wu-from-start-to-finish/dates-and-deadlines https://boku.ac.at/fileadmin/data/H05000/H12000/Academic_Calendars/Academic_Calendar_2021.pdf https://www.meduniwien.ac.at/web/studierende/service-center/akademischer-kalender/,,>1,1.90E+05,1.90E+06,,2,"Mouth and nose protection to be worn in specified places (shops, public transport, ...)",before 1 August 2020,,https://web.archive.org/web/20200802004525/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,13 September 2020,"""Since September 14th an MNS has to be worn in the following areas: [a long list follows]"". Note that I'm deferring to OXCGRT here since we're using their definitions. It's not especially clear to me that the measures correspond to ""3"" rather than ""2"", but OXCGRT has them as ""3"".",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html
Austria,Wien,,10000,no,Max 10000 guests for outdoor events with fixed seats provided this is approved by the locally responsible district administrative authority.,1 September 2020,"""As of September 1, 2020, these numbers will be increased to... 10,000 visitors in the open air""",https://web.archive.org/web/20200901122518/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://web.archive.org/web/20200910224450/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,13 September 2020,"""For events with assigned and marked seats, the maximum number of people in the open air is 3000.""",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html, ,5000,no,Max 5000 guests for indoor events with fixed seats provided this is approved by the locally responsible district administrative authority.,1 September 2020,"""As of September 1, 2020, these numbers will be increased to 5,000 visitors in closed rooms""",https://web.archive.org/web/20200901122518/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://web.archive.org/web/20200910224450/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,13 September 2020,"""For events with assigned and marked  seats in closed rooms, the maximum number of people of 1500 applies.""",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html, ,10000,no,Max 10000 guests for outdoor events with fixed seats provided this is approved by the locally responsible district administrative authority.,1 September 2020,I can't see anything specific regarding private as opposed to public gatherings in the advice given,https://web.archive.org/web/20200901122518/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://web.archive.org/web/20200910224450/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,13 September 2020,"""For events with assigned and marked seats, the maximum number of people in the open air is 3000.""",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html, ,1,1,"Although private gatherings in homes could not be regulated, during hard lockdowns private gatherings in other indoor venues would be banned. In addition functionally due to curfew and hard lockdowns most gatherings in private indoor venues were unlikley to take place during the hard lockdown. As agreed by multiple researchers after discussion with local epidemiologists ",26 December 2020,"See edge case doc: https://docs.google.com/document/d/1fdQIMDP-yeLAnMt3_09GwxyUL5TgsymLnRBxASVR84w/edit and mention of this legal difficulty here, for example: https://www.covid19healthsystem.org/countries/austria/livinghit.aspx?Section=1.2%20Physical%20distancing&Type=Section#3Physicaldistancing",https://web.archive.org/web/20201229144455/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shops are mostly closed and close-contact services are closed,26 December 2020,"""Trade and services : Shops are generally closed. Only those companies that offer important goods (e.g. food, medicines) are allowed to enter. Customer areas of non-body-oriented service companies (e.g. banks, car workshops, insurance companies, cleaning shops, tailoring shops, etc.) may also be visited.""",https://web.archive.org/web/20201229144455/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_598/BGBLA_2020_II_598.html,no,"Advice on government website appears unchanged since 2020/12/26, as of today (2021/01/12). Also ordinance that came into force on 2020/12/26 was amended such that it was extended to run until 2021/01/14.",Archived government advice page: https://archive.vn/dXePU. old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_598/BGBLA_2020_II_598.html. amendment to extend old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_2/BGBLA_2021_II_2.html,,Most things are closed except essential shops etc,26 December 2020,"""Trade and services : Shops are generally closed. Only those companies that offer important goods (e.g. food, medicines) are allowed to enter. Customer areas of non-body-oriented service companies (e.g. banks, car workshops, insurance companies, cleaning shops, tailoring shops, etc.) may also be visited. Companies that offer body-hugging services remain closed (e.g. hairdressers, nail salons, piercing studios, massage studios - exception: medical purposes).""",https://web.archive.org/web/20201229144455/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_598/BGBLA_2020_II_598.html,no,"Advice on government website appears unchanged since 2020/12/26, as of today (2021/01/12). Also ordinance that came into force on 2020/12/26 was amended such that it was extended to run until 2021/01/14.",Archived government advice page: https://archive.vn/dXePU. old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_598/BGBLA_2020_II_598.html. amendment to extend old ordinance: https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2021_II_2/BGBLA_2021_II_2.html,,Leaving home between 8pm and 6am is only permitted under limited conditions,7 December 2020,"""Leaving the private living area and staying outside the private living area between 8 p.m. and 6 a.m. are only permitted for the following purposes...""",https://web.archive.org/web/20201207170144/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_544/BGBLA_2020_II_544.html,23 December 2020,Curfew lifted for 24th and 25th Dec,https://www.ris.bka.gv.at/Dokumente/BgblAuth/BGBLA_2020_II_566/BGBLA_2020_II_566.html https://web.archive.org/web/20201222220659/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,,Autumn break,holidays,27 October 2020,"""Deviations for individual schools or types of schools are possible"", but my understanding is that this should be roughly right.",https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_20_21.html,1 November 2020,,https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_20_21.html,,Autumn break,holidays,27 October 2020,"""Deviations for individual schools or types of schools are possible"", but my understanding is that this should be roughly right.",https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_20_21.html,1 November 2020,,https://www.bmbwf.gv.at/Themen/schule/schulpraxis/termine/ferientermine_20_21.html,,christmas vacation,21 December 2020,"According to the universities' websites, universities accounting for around 122k of the 149k students at universities I sampled were on a break by 21 December 2020. The other 27k had their break start on 24 December. I think 122k/149k can qualify as ""most"". Of course, I'm assuming that the 5 universities I sampled are roughly representative (they don't have to be that representative because they account for ~80% of university students in Vienna).",https://de.wikipedia.org/wiki/Liste_der_Universit%C3%A4ten_in_%C3%96sterreich https://de.wikipedia.org/wiki/Liste_der_Fachhochschulen_in_%C3%96sterreich https://de.wikipedia.org/wiki/P%C3%A4dagogische_Hochschule#P%C3%A4dagogische_Hochschulen_in_%C3%96sterreich https://international.univie.ac.at/en/student-mobility/incoming-students/erasmus-student-exchange/studying-at-the-university-of-vienna/ https://www.tuwien.at/en/studies/academic-calendar https://www.wu.ac.at/en/programs/incoming-students/exchange-semester/your-semester-at-wu-from-start-to-finish/dates-and-deadlines https://boku.ac.at/fileadmin/data/H05000/H12000/Academic_Calendars/Academic_Calendar_2021.pdf https://www.meduniwien.ac.at/web/studierende/service-center/akademischer-kalender/,6 January 2021,"According to the universities' websites, by 6 January 2021, one university had finished the Christmas vacation. By 7 January 2021, all 5 universities had.",https://de.wikipedia.org/wiki/Liste_der_Universit%C3%A4ten_in_%C3%96sterreich https://de.wikipedia.org/wiki/Liste_der_Fachhochschulen_in_%C3%96sterreich https://de.wikipedia.org/wiki/P%C3%A4dagogische_Hochschule#P%C3%A4dagogische_Hochschulen_in_%C3%96sterreich https://international.univie.ac.at/en/student-mobility/incoming-students/erasmus-student-exchange/studying-at-the-university-of-vienna/ https://www.tuwien.at/en/studies/academic-calendar https://www.wu.ac.at/en/programs/incoming-students/exchange-semester/your-semester-at-wu-from-start-to-finish/dates-and-deadlines https://boku.ac.at/fileadmin/data/H05000/H12000/Academic_Calendars/Academic_Calendar_2021.pdf https://www.meduniwien.ac.at/web/studierende/service-center/akademischer-kalender/,,,,,,3,"Mouth and nose protection to be worn in specified places (shops, public transport, probably most indoor places)",14 September 2020,"""Since September 14th an MNS has to be worn in the following areas: [a long list follows]"". Note that I'm deferring to OXCGRT here since we're using their definitions. It's not especially clear to me that the measures correspond to ""3"" rather than ""2"", but OXCGRT has them as ""3"".",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,no,e.g. see OXCGRT data,
Austria,Wien,,3000,no,Max 3000 guests for outdoor events with fixed seats,14 September 2020,"""For events with assigned and marked seats, the maximum number of people in the open air is 3000.""",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,22 October 2020,"""Public events (such as theater performances and concerts) may take place with a maximum of 1,000 people inside and 1,500 outside""",https://web.archive.org/web/20201023152100/https://orf.at/stories/3185779/, ,1500,no,Max 1500 guests for indoor events with fixed seats,14 September 2020,"""For events with assigned and marked  seats in closed rooms, the maximum number of people of 1500 applies.""",https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,22 October 2020,"""Public events (such as theater performances and concerts) may take place with a maximum of 1,000 people inside and 1,500 outside""",https://web.archive.org/web/20201023152100/https://orf.at/stories/3185779/, ,3000,no,Max 3000 guests for outdoor events with fixed seats,14 September 2020,I can't see anything specific regarding private as opposed to public gatherings in the advice given,https://web.archive.org/web/20200914085401/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,22 October 2020,"""the federal government presented new corona measures. These will go into effect on Friday... Outdoor meetings are limited to 12 people""",https://web.archive.org/web/20201024060408/https://metropole.at/coronavirus-in-austria/, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Primary schools only open for ""care""",COVID,17 November 2020,"""According to the Department of Education, all schools are expected to switch to distance learning."" ""Kindergartens and compulsory schools will no longer offer lessons, but will offer “care” to children who need it."" The effect on actual behaviour from the government announcement isn't immediately obvious, so the attendance numbers from the vienna.at articles are very useful. See also the explanations doc.","https://www.thelocal.at/20201114/austria-braces-for-hard-lockdown-from-tuesday https://www.vienna.at/grosse-unterschiede-bei-schulbesuch-am-ersten-lockdown-tag/6811795 https://www.vienna.at/wieder-mehr-schueler-in-schulen/6822370#:~:text=Rund%2018%20Prozent%20in%20Wien&text=Wien%20und%20Ober%C3%B6sterreich%20kommen%20auf,die%20wenigsten%20an%20AHS%2DUnterstufen.",6 December 2020,"""Kindergartens and compulsory schools resume regular operations""",https://web.archive.org/web/20201207170144/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html,,"Last 5 grades of secondary school on ""distance learning"", though some in-person attendance is possible; first 4 grades of secondary school only open for ""care""",COVID,17 November 2020,"""According to the Department of Education, all schools are expected to switch to distance learning."" ""Kindergartens and compulsory schools will no longer offer lessons, but will offer “care” to children who need it."" The effect on actual behaviour from the government announcement isn't immediately obvious, so the attendance numbers from the vienna.at articles are very useful. See also the explanations doc.","https://www.thelocal.at/20201114/austria-braces-for-hard-lockdown-from-tuesday https://www.vienna.at/grosse-unterschiede-bei-schulbesuch-am-ersten-lockdown-tag/6811795 https://www.vienna.at/wieder-mehr-schueler-in-schulen/6822370#:~:text=Rund%2018%20Prozent%20in%20Wien&text=Wien%20und%20Ober%C3%B6sterreich%20kommen%20auf,die%20wenigsten%20an%20AHS%2DUnterstufen.",6 December 2020,"""Kindergartens and compulsory schools resume regular operations"". Since (as I understand it) 4 of the 9 grades for ages 10+ are compulsory schools and re-opened on 7th Dec, I think we should count the NPI as finished here. See also the explanations doc",https://web.archive.org/web/20201207170144/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html https://www.bildungssystem.at/,,,,,,,,,,,,,,,,,,,,,
